|Bus stop name|,|Area name|,|Location (lat/lng)|,|Icon color|
|Ojuelegba Bus Station|,|Surulere, Lagos, Nigeria|,|6.510317/3.3626533|,|Yellow|
|Fadeyi Bus Stop|,|Mushin, Lagos, Nigeria|,|6.5278119/3.3670548|,|Blue|
|Ojota Bus Stop|,|Ikorodu Rd, Kosofe, Lagos, Nigeria|,|6.5876687/3.3785258|,|Blue|
|Jibowu Bus Stop|,|Murtala Muhammed Way, Jibowu, Lagos, Nigeria|,|6.5194683/3.3674491|,|Blue|
|Obanikoro Bus Stop|,|Association Ave, Mushin, Lagos, Nigeria|,|6.546877/3.3667831|,|Blue|
|Stadium Bus Stop|,|Surulere, Lagos, Nigeria|,|6.5008233/3.3625886|,|Blue|
|Oshodi BRT Bus Station|,|Agege Motor Rd, Mushin, Lagos, Nigeria|,|6.5552554/3.3518094|,|Yellow|
|Stadium BRT Bus Stop|,|Western Ave, Surulere, Lagos, Nigeria|,|6.498511/3.361797|,|Blue|
|Ketu Bus Stop|,|Ikorodu Rd, Kosofe, Lagos, Nigeria|,|6.597497/3.386115|,|Blue|
|Sandfill Bus Stop|,|Ozumba Mbadiwe Rd, Victoria Island, Lagos, Nigeria|,|6.4362473/3.44192|,|Yellow|
|Anthony Bus Stop|,|Gbagada, Lagos, Nigeria|,|6.558534/3.367001|,|Blue|
|Obalende Bus Stop|,|Ring Rd, Lagos Island, Lagos, Nigeria|,|6.4515869/3.408224|,|Blue|
|Oyingbo Bus Stop|,|Murtala Muhammed, Lagos Mainland, Lagos, Nigeria|,|6.482167/3.383145|,|Blue|
|Alaba Bus Stop|,|Amuwo Odofin Estate, Lagos, Nigeria|,|6.467154300000001/3.3200759|,|Blue|
|Ikeja Bus Station|,|Agege Motor Rd, Ikeja, Lagos, Nigeria|,|6.5954885/3.3357126|,|Yellow|
|Oniru Estate Bus Stop|,|Ozumba Mbadiwe Rd, Victoria Island, Lagos, Nigeria|,|6.437283/3.451255|,|Blue|
|Onipanu Bus Stop|,|Mushin, Lagos, Nigeria|,|6.534527199999999/3.366926|,|Blue|
|Leventis Busstop|,|Mobolaji Bank Anthony Way, Mushin, Lagos, Nigeria|,|6.5740577/3.3624548|,|Blue|
|Powerline Bus Stop|,|Isheri Rd, Ikotun, Lagos, Nigeria|,|6.5768818/3.2729038|,|Blue|
|Pako Bus Stop|,|Oluwole St, Yaba, Lagos, Nigeria|,|6.5240705/3.3855379|,|Blue|
